strat_unit,color_hex
?dr,#ffdeed
?g,#ffdeed
?gr,#ffdeed
?gs,#dbccf7
?mc,#dbccf7
?ml,#dbccf7
?mm,#dbccf7
?og,#ffdeed
?qd,#ffdeed
?qm,#ffdeed
?to,#ffdeed
CCCTHvm,#b1a5e7
CJBRm,#d7b0d9
CJBRsv,#c59fd7
CJBRus,#a459e8
CKSC,#99adac
CmA,#e77c72
CmAlm,#e77c72
CmAqz,#e77c72
CmAs,#e77c72
CmCD,#A07C78
Cmcg,#e8ae97
CmDBI,#ab7d00
CmDEB,#ccd891
CmDEBlm,#ccd891
CmDEBmc,#ccd891
CmDEBqz,#ccd891
CmDLB,#80b5d5
CmDLI,#80b5d5
CmDLJ,#80b5d5
CmDLL,#80b5d5
CmDlm,#e8ae97
CmDLT,#80b5d5
CmGL,#e8ae97
CmGlm,#ab7d00
CmGs,#ab7d00
CmGsc,#ab7d00
CmGsf,#ab7d00
CmL,#e77c72
Cmlm,#e8ae97
CmMB,#80b5d5
CmMRE,#5282CE
CmMsf,#999791
CmN,#e8ae97
CmOHt,#ff8cb5
CmOK,#d4bfcc
CmOKlc,#d4bfcc
CmOKlm,#d4bfcc
CmOlc,#e8ae97
CmOM,#e8ae97
CmOms,#d4bfcc
CmORz,#80b5d5
CmOs,#e8ae97
Cmqz,#e8ae97
Cms,#e8ae97
Cmsf,#e8ae97
Cmst,#e8ae97
CPA,#99bdda
CPAS,#80cec9
CPCgs,#8a2be2
CPch,#99d8d8
CPdr,#d487b5
CPF,#80cec9
CPFLsv,#cbcdc8
CPFUvb,#cbcdc8
CPH,#99bdda
CPKa,#99d8d8
CPKi,#80cec9
CPKo,#b587fa
CPlc,#99d8d8
CPm,#b587fa
CPMR,#99bdda
CPMRum,#a800b0
CPog,#d487b5
CPSE,#99bdda
CPSF,#99d8d8
CPSFK,#99d8d8
CPSNlm,#99bdda
CPSNva,#99bdda
CPSsf,#99bdda
CPus,#a800b0
CScg,#99bdda
CSlm,#99bdda
CSsc,#99bdda
CSt,#99d8d8
CSvc,#99bdda
CSvf,#99bdda
CTrBRbs,#999791
CTrCC,#9FA6A3
CTrKcg,#99adac
CTrKsf,#99adac
Czfp,#ffc2bf
Czgr,#ffc2bf
DCBH,#e9c7e2
DCEBFvd,#ccd891
DCEBSKvf,#ccd891
DCEBSst,#ccd891
DCog,#ebadc4
DCqd,#ebadc4
DCQLgr,#ebadc4
DCqm,#ebadc4
Ddo,#80cec9
DEBD,#ccd891
DEBdr,#fcc7db
DEBog,#fcc7db
DEBpg,#ccd891
DEBSk,#ccd891
DEBus,#a800b0
DEBW,#ccd891
DETpg,#dbccf7
DFSA,#cbbddc
di,#ffdeed
DIsy,#fcc7db
DJgd,#fcc7db
DJgs,#99d7be
DJsf,#99d7be
Dlc,#80cec9
DMBE,#8fc4d4
DMBmd,#8fc4d4
DMBsf,#8fc4d4
DMCcg1,#cbbddc
DMCcg2,#fcc7db
DMcg,#dbccf7
DMch,#67b39f
DMCmb,#fcc7db
DMCmc,#cbbddc
DMCmr,#fcc7db
DMCms,#e9c7e2
DMEA,#999791
DMEBF,#ccd891
DMEBR,#ccd891
DMEcg,#999791
DMEG,#999791
DMEmd,#999791
DMEmv,#ffdeed
DMEsf,#999791
DMF,#e9c7e2
DMQ,#ebadc4
